RENAISSANCE AI FUND - INVESTABLE UNIVERSE,,,,,
Companies that generate real free cash flow in growing markets,,,,,
,,,,,
Tier,Ticker,Company,Sector,2024 FCF ($B),Why Investable
ACE,AAPL,Apple Inc,Technology,108.8,"Largest FCF generator, ecosystem moat"
ACE,MSFT,Microsoft Corp,Technology,74.1,"Cloud + AI dominance, recurring revenue"
ACE,GOOGL,Alphabet Inc,Technology,72,"Search monopoly, YouTube, Cloud growth"
ACE,NVDA,NVIDIA Corp,Semiconductors,60.9,"AI chip monopoly, 125% FCF growth"
ACE,META,Meta Platforms,Technology,54.1,"Social monopoly, AI investments"
ACE,AMZN,Amazon.com,Technology,36.8,AWS + e-commerce dominance
ACE,BRK.B,Berkshire Hathaway,Financials,32,"Permanent capital, Buffett"
ACE,XOM,Exxon Mobil,Energy,36.1,"Integrated oil major, discipline"
ACE,TSM,Taiwan Semiconductor,Semiconductors,27.9,"Foundry monopoly, AI beneficiary"
ACE,AVGO,Broadcom Inc,Semiconductors,24.9,Connectivity chips + VMware
ACE,UNH,UnitedHealth Group,Healthcare,24.9,Healthcare vertical integration
ACE,V,Visa Inc,Payments,21.6,Payment network duopoly
ACE,CVX,Chevron Corp,Energy,21.4,Integrated oil major
ACE,JNJ,Johnson & Johnson,Healthcare,19.8,Pharma + MedTech diversified
ACE,PG,Procter & Gamble,Consumer Staples,16.8,"Brand portfolio, pricing power"
ACE,HD,Home Depot,Retail,15.1,Home improvement duopoly
ACE,JPM,JPMorgan Chase,Financials,15,Best-in-class bank
ACE,MA,Mastercard Inc,Payments,13.6,Payment network duopoly
ACE,NVO,Novo Nordisk,Healthcare,12.5,GLP-1 obesity/diabetes drugs
ACE,CRM,Salesforce,Software,12.4,"CRM leader, AI integration"
ACE,ORCL,Oracle Corp,Software,11.8,Database + cloud transition
ACE,KO,Coca-Cola,Consumer Staples,9.5,Global beverage brand
ACE,PEP,PepsiCo,Consumer Staples,8.9,Beverage + snacks diversified
ACE,MCD,McDonald's Corp,Consumer,8.1,Global QSR franchise model
ACE,LLY,Eli Lilly,Healthcare,8,"GLP-1 leader, pipeline"
ACE,COST,Costco,Retail,7.8,"Membership model, loyalty"
ACE,NFLX,Netflix Inc,Media,6.9,"Streaming leader, FCF positive"
ACE,TMO,Thermo Fisher,Healthcare,6.5,Life sciences tools leader
ACE,ABT,Abbott Labs,Healthcare,6.3,MedTech diversified
KING,ADBE,Adobe Inc,Software,7.9,Creative/PDF monopoly
KING,CSCO,Cisco Systems,Technology,12.8,Networking infrastructure
KING,ACN,Accenture,Services,9.2,IT consulting leader
KING,QCOM,Qualcomm,Semiconductors,10.5,Mobile chip leader
KING,TXN,Texas Instruments,Semiconductors,6.1,"Analog chips, manufacturing"
KING,NOW,ServiceNow,Software,3.8,Enterprise workflow automation
KING,INTU,Intuit Inc,Software,5.8,Tax/accounting software
KING,AMD,Advanced Micro Devices,Semiconductors,1.5,CPU/GPU competition
KING,AMAT,Applied Materials,Semiconductors,7.2,Chip equipment leader
KING,LRCX,Lam Research,Semiconductors,4.8,Etch equipment leader
KING,KLAC,KLA Corp,Semiconductors,3.5,Process control leader
KING,ASML,ASML Holding,Semiconductors,8.5,EUV lithography monopoly
KING,WMT,Walmart Inc,Retail,15.5,"Retail scale, e-commerce growth"
KING,LOW,Lowe's Companies,Retail,7.2,Home improvement #2
